Name: Floyd Avenue, Instruction: Head east on Floyd Avenue, Distance: 510.3 meters, Time: 367.4 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn slight right, Distance: 68.0 meters, Time: 49.0 seconds
Name: -, Instruction: Keep left, Distance: 79.1 meters, Time: 57.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn slight right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight left, Distance: 193.7 meters, Time: 139.5 seconds
Name: -, Instruction: Keep right, Distance: 103.1 meters, Time: 74.2 seconds
Name: -, Instruction: Keep right, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 80.5 meters, Time: 57.9 seconds
Name: -, Instruction: Keep left, Distance: 363.2 meters, Time: 261.5 seconds
Name: -, Instruction: Turn right, Distance: 251.5 meters, Time: 181.1 seconds
Name: -, Instruction: Keep right, Distance: 79.1 meters, Time: 57.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
