Name: Wasdale Crescent, Instruction: Head west on Wasdale Crescent, Distance: 56.9 meters, Time: 41.0 seconds
Name: Rajah Street, Instruction: Turn right onto Rajah Street, Distance: 187.3 meters, Time: 134.8 seconds
Name: Neptune Drive, Instruction: Turn left onto Neptune Drive, Distance: 394.5 meters, Time: 284.0 seconds
Name: -, Instruction: Turn left, Distance: 161.9 meters, Time: 116.6 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn slight right, Distance: 57.9 meters, Time: 41.7 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn right, Distance: 53.6 meters, Time: 38.6 seconds
Name: Rajah Street, Instruction: Turn slight right onto Rajah Street, Distance: 99.5 meters, Time: 71.6 seconds
Name: Sultana Avenue, Instruction: Turn right onto Sultana Avenue, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Arrive at Sultana Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
