Name: شارع اللواء صالح حرب, Instruction: Head southwest on شارع اللواء صالح حرب, Distance: 76.1 meters, Time: 54.8 seconds
Name: شارع صديق جوهر, Instruction: Turn left onto شارع صديق جوهر, Distance: 420.4 meters, Time: 302.7 seconds
Name: -, Instruction: Turn left, Distance: 89.4 meters, Time: 64.4 seconds
Name: شارع الخليفه الظافر, Instruction: Turn sharp right onto شارع الخليفه الظافر, Distance: 131.2 meters, Time: 94.5 seconds
Name: -, Instruction: Turn slight left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn left, Distance: 94.8 meters, Time: 68.3 seconds
Name: -, Instruction: Turn right, Distance: 52.7 meters, Time: 38.0 seconds
Name: -, Instruction: Turn left, Distance: 42.3 meters, Time: 30.5 seconds
Name: شارع عبد الله العربى, Instruction: Turn right onto شارع عبد الله العربى, Distance: 202.5 meters, Time: 145.8 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: شارع عبد الله العربى, Instruction: Turn left onto شارع عبد الله العربى, Distance: 29.4 meters, Time: 21.2 seconds
Name: شارع المستشار حافظ بدوي, Instruction: Turn sharp right onto شارع المستشار حافظ بدوي, Distance: 81.6 meters, Time: 58.8 seconds
Name: شارع محمد العشماوي, Instruction: Turn right onto شارع محمد العشماوي, Distance: 154.7 meters, Time: 111.4 seconds
Name: شارع المهدي بن بركه, Instruction: Turn left onto شارع المهدي بن بركه, Distance: 837.1 meters, Time: 602.7 seconds
Name: شارع الدكتور ابراهيم ابو النجا, Instruction: Turn right onto شارع الدكتور ابراهيم ابو النجا, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
