Name: Grosvenor Lane, Instruction: Head west on Grosvenor Lane, Distance: 80.1 meters, Time: 57.6 seconds
Name: Newland Street, Instruction: Turn left onto Newland Street, Distance: 2.8 meters, Time: 2.0 seconds
Name: Rowe Lane, Instruction: Turn right onto Rowe Lane, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 412.0 meters, Time: 296.7 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 232.9 meters, Time: 167.7 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 243.9 meters, Time: 175.6 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn slight left, Distance: 242.4 meters, Time: 174.5 seconds
Name: -, Instruction: Turn right, Distance: 53.5 meters, Time: 38.6 seconds
Name: Peaker Lane, Instruction: Turn left onto Peaker Lane, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 221.5 meters, Time: 159.5 seconds
Name: -, Instruction: Turn slight left, Distance: 329.0 meters, Time: 236.9 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 215.4 meters, Time: 155.1 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 76.9 meters, Time: 55.4 seconds
Name: Norfolk Street, Instruction: Turn right onto Norfolk Street, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Arrive at Norfolk Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
