Name: Rue du Château, Instruction: Head west on Rue du Château, Distance: 57.4 meters, Time: 41.3 seconds
Name: Avenue de la République, D 37, Instruction: Turn right onto Avenue de la République, D 37, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn slight left, Distance: 363.8 meters, Time: 262.0 seconds
Name: -, Instruction: Keep right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Keep right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn left, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Turn left, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Turn right, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 343.2 meters, Time: 247.1 seconds
Name: -, Instruction: Turn right, Distance: 173.7 meters, Time: 125.1 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 106.3 meters, Time: 76.5 seconds
Name: Place des Grès, Instruction: Keep left onto Place des Grès, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 113.1 meters, Time: 81.4 seconds
Name: -, Instruction: Turn slight left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Rue Florian, Instruction: Turn left onto Rue Florian, Distance: 4.8 meters, Time: 3.5 seconds
Name: Rue Vitruve, Instruction: Turn right onto Rue Vitruve, Distance: 343.9 meters, Time: 247.6 seconds
Name: Place de la Réunion, Instruction: Turn left onto Place de la Réunion, Distance: 54.2 meters, Time: 39.0 seconds
Name: Rue de la Réunion, Instruction: Turn left onto Rue de la Réunion, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Keep left, Distance: 3.9 meters, Time: 2.8 seconds
Name: Rue des Vignoles, Instruction: Turn right onto Rue des Vignoles, Distance: 392.1 meters, Time: 282.3 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Keep right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.8 seconds
Name: Allée Maria Doriath, Instruction: Turn left onto Allée Maria Doriath, Distance: 109.0 meters, Time: 78.5 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
