Name: Belle Verde Drive, Instruction: Head northeast on Belle Verde Drive, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 213.9 meters, Time: 154.0 seconds
Name: -, Instruction: Turn slight left, Distance: 309.6 meters, Time: 222.9 seconds
Name: Gary Crescent, Instruction: Turn slight left onto Gary Crescent, Distance: 80.7 meters, Time: 58.1 seconds
Name: -, Instruction: Keep left, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn left, Distance: 289.7 meters, Time: 208.6 seconds
Name: -, Instruction: Keep right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 170.7 meters, Time: 122.9 seconds
Name: -, Instruction: Turn slight left, Distance: 67.3 meters, Time: 48.5 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
