Name: Holt Road, Instruction: Head east on Holt Road, Distance: 138.6 meters, Time: 99.8 seconds
Name: Craigholm Street, Instruction: Turn right onto Craigholm Street, Distance: 279.6 meters, Time: 201.3 seconds
Name: Murchison Street, Instruction: Turn left onto Murchison Street, Distance: 198.8 meters, Time: 143.2 seconds
Name: Corea Street, Instruction: Turn right onto Corea Street, Distance: 87.8 meters, Time: 63.2 seconds
Name: Corea Street, Instruction: Keep right onto Corea Street, Distance: 92.7 meters, Time: 66.7 seconds
Name: Corea Street, Instruction: Turn slight right onto Corea Street, Distance: 289.4 meters, Time: 208.4 seconds
Name: Corea Street, Instruction: Enter the roundabout and take the 2nd exit onto Corea Street, Distance: 433.9 meters, Time: 312.4 seconds
Name: Garnet Road, Instruction: Turn left onto Garnet Road, Distance: 174.2 meters, Time: 125.4 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 72.1 meters, Time: 51.9 seconds
Name: Silverwater Crescent, Instruction: Turn left onto Silverwater Crescent, Distance: 277.3 meters, Time: 199.7 seconds
Name: Silverwater Crescent, Instruction: Turn right onto Silverwater Crescent, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Arrive at Silverwater Crescent, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
