Name: Flemington Road, Instruction: Head southeast on Flemington Road, Distance: 28.4 meters, Time: 20.4 seconds
Name: Blossomfield Drive, Instruction: Turn right onto Blossomfield Drive, Distance: 202.4 meters, Time: 145.7 seconds
Name: Dane Avenue, Instruction: Turn right onto Dane Avenue, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 379.5 meters, Time: 273.2 seconds
Name: -, Instruction: Turn left, Distance: 83.0 meters, Time: 59.8 seconds
Name: -, Instruction: Turn right, Distance: 148.2 meters, Time: 106.7 seconds
Name: -, Instruction: Turn left, Distance: 486.4 meters, Time: 350.2 seconds
Name: -, Instruction: Keep right, Distance: 9.5 meters, Time: 6.8 seconds
Name: Wenderly Drive, Instruction: Turn right onto Wenderly Drive, Distance: 24.9 meters, Time: 18.0 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Keep right, Distance: 76.3 meters, Time: 54.9 seconds
Name: Glen Long Avenue, Instruction: Turn right onto Glen Long Avenue, Distance: 38.1 meters, Time: 27.5 seconds
Name: -, Instruction: Arrive at Glen Long Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
