Name: شارع رياض السنباطى, Instruction: Head east on شارع رياض السنباطى, Distance: 159.1 meters, Time: 114.5 seconds
Name: -, Instruction: Turn right, Distance: 70.3 meters, Time: 50.6 seconds
Name: شارع الشهيد ابراهيم عبد التواب, Instruction: Turn left onto شارع الشهيد ابراهيم عبد التواب, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Turn right, Distance: 69.7 meters, Time: 50.2 seconds
Name: شارع الشهيد محمد الجندي, Instruction: Turn left onto شارع الشهيد محمد الجندي, Distance: 153.3 meters, Time: 110.4 seconds
Name: شارع عبد الباسط عبد الصمد, Instruction: Turn right onto شارع عبد الباسط عبد الصمد, Distance: 81.0 meters, Time: 58.3 seconds
Name: شارع حسام جويش, Instruction: Turn left onto شارع حسام جويش, Distance: 9.4 meters, Time: 6.8 seconds
Name: شارع عبد الباسط عبد الصمد, Instruction: Turn left onto شارع عبد الباسط عبد الصمد, Distance: 54.2 meters, Time: 39.0 seconds
Name: شارع الشهيد سيد مكاوى, Instruction: Turn right onto شارع الشهيد سيد مكاوى, Distance: 614.7 meters, Time: 442.6 seconds
Name: محور احمد شوقى الجانبى, Instruction: Turn right onto محور احمد شوقى الجانبى, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Turn left, Distance: 41.7 meters, Time: 30.0 seconds
Name: محور احمد شوقى, Instruction: Turn right onto محور احمد شوقى, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: محور احمد شوقى الجانبى, Instruction: Turn right onto محور احمد شوقى الجانبى, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 196.2 meters, Time: 141.2 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 161.6 meters, Time: 116.3 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 216.2 meters, Time: 155.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
