Name: Parking (upper level), Instruction: Head west on Parking (upper level), Distance: 101.2 meters, Time: 72.9 seconds
Name: -, Instruction: Turn right, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Keep left, Distance: 109.4 meters, Time: 78.8 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: Wellness Way, Instruction: Turn right onto Wellness Way, Distance: 135.1 meters, Time: 97.2 seconds
Name: -, Instruction: Turn left, Distance: 47.2 meters, Time: 33.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 469.9 meters, Time: 338.3 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Keep left, Distance: 75.9 meters, Time: 54.6 seconds
Name: -, Instruction: Turn left, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
