Name: Dovercourt Road, Instruction: Head south on Dovercourt Road, Distance: 34.2 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Keep left, Distance: 7.1 meters, Time: 5.1 seconds
Name: St Annes Road, Instruction: Turn right onto St Annes Road, Distance: 146.3 meters, Time: 105.3 seconds
Name: Rusholme Road, Instruction: Turn left onto Rusholme Road, Distance: 165.5 meters, Time: 119.1 seconds
Name: -, Instruction: Turn right, Distance: 96.3 meters, Time: 69.3 seconds
Name: Rusholme Drive, Instruction: Turn left onto Rusholme Drive, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 161.5 meters, Time: 116.2 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Collahie Street, Instruction: Turn right onto Collahie Street, Distance: 3.5 meters, Time: 2.5 seconds
Name: Gladstone Avenue, Instruction: Turn left onto Gladstone Avenue, Distance: 71.0 meters, Time: 51.1 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 81.0 meters, Time: 58.3 seconds
Name: -, Instruction: Turn left, Distance: 58.7 meters, Time: 42.3 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight left, Distance: 150.2 meters, Time: 108.2 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 108.8 meters, Time: 78.4 seconds
Name: -, Instruction: Turn left, Distance: 83.7 meters, Time: 60.3 seconds
Name: -, Instruction: Turn right, Distance: 39.1 meters, Time: 28.1 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: Florence Street, Instruction: Turn right onto Florence Street, Distance: 7.4 meters, Time: 5.3 seconds
Name: Brock Avenue, Instruction: Turn left onto Brock Avenue, Distance: 209.0 meters, Time: 150.5 seconds
Name: Seaforth Avenue, Instruction: Turn right onto Seaforth Avenue, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 52.9 meters, Time: 38.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
