Name: London Road, A237, Instruction: Head northwest on London Road, A237, Distance: 60.7 meters, Time: 43.7 seconds
Name: Medland Close, Instruction: Turn left onto Medland Close, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 27.1 meters, Time: 19.5 seconds
Name: London Road, A237, Instruction: Turn left onto London Road, A237, Distance: 100.5 meters, Time: 72.4 seconds
Name: New Road, Instruction: Turn left onto New Road, Distance: 82.6 meters, Time: 59.5 seconds
Name: Wolseley Road, Instruction: Turn right onto Wolseley Road, Distance: 433.0 meters, Time: 311.7 seconds
Name: Mill Green Road, Instruction: Turn right onto Mill Green Road, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 259.8 meters, Time: 187.1 seconds
Name: Goat Road, Instruction: Turn right onto Goat Road, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Keep left, Distance: 307.3 meters, Time: 221.3 seconds
Name: -, Instruction: Continue straight, Distance: 156.0 meters, Time: 112.3 seconds
Name: -, Instruction: Turn right, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn slight right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 463.6 meters, Time: 333.8 seconds
Name: -, Instruction: Turn slight right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 176.1 meters, Time: 126.8 seconds
Name: -, Instruction: Turn left, Distance: 177.4 meters, Time: 127.8 seconds
Name: -, Instruction: Turn left, Distance: 90.8 meters, Time: 65.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
