Name: Holland Park Avenue, Instruction: Head east on Holland Park Avenue, Distance: 146.0 meters, Time: 105.1 seconds
Name: Winona Drive, Instruction: Turn right onto Winona Drive, Distance: 54.6 meters, Time: 39.3 seconds
Name: Earlsdale Avenue, Instruction: Turn left onto Earlsdale Avenue, Distance: 268.1 meters, Time: 193.0 seconds
Name: Arlington Avenue, Instruction: Turn left onto Arlington Avenue, Distance: 141.8 meters, Time: 102.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 90.1 meters, Time: 64.9 seconds
Name: Rushton Road, Instruction: Turn left onto Rushton Road, Distance: 26.7 meters, Time: 19.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 585.7 meters, Time: 421.7 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.3 seconds
Name: Kenwood Avenue, Instruction: Turn left onto Kenwood Avenue, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn slight right, Distance: 144.0 meters, Time: 103.7 seconds
Name: -, Instruction: Keep left, Distance: 138.0 meters, Time: 99.4 seconds
Name: -, Instruction: Turn right, Distance: 187.2 meters, Time: 134.8 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
