Name: Robinson Street, Instruction: Head east on Robinson Street, Distance: 7.3 meters, Time: 5.2 seconds
Name: Claremont Street, Instruction: Turn right onto Claremont Street, Distance: 87.6 meters, Time: 63.1 seconds
Name: -, Instruction: Keep left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn left, Distance: 248.7 meters, Time: 179.1 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 194.0 meters, Time: 139.7 seconds
Name: -, Instruction: Turn right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 172.6 meters, Time: 124.3 seconds
Name: -, Instruction: Turn left, Distance: 90.6 meters, Time: 65.2 seconds
Name: Portland Street, Instruction: Turn right onto Portland Street, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 91.6 meters, Time: 66.0 seconds
Name: -, Instruction: Turn right, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Keep left, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 53.4 meters, Time: 38.5 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 51.6 meters, Time: 37.1 seconds
Name: -, Instruction: Turn right, Distance: 39.9 meters, Time: 28.7 seconds
Name: -, Instruction: Turn left, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
