Name: Rua Joaquim de Queiroz, Instruction: Head east on Rua Joaquim de Queiroz, Distance: 33.1 meters, Time: 23.9 seconds
Name: -, Instruction: Turn right, Distance: 116.3 meters, Time: 83.7 seconds
Name: -, Instruction: Turn slight left, Distance: 41.9 meters, Time: 30.2 seconds
Name: Rua da Torre, Instruction: Turn left onto Rua da Torre, Distance: 5.7 meters, Time: 4.1 seconds
Name: Rua da Torre, Instruction: Keep right onto Rua da Torre, Distance: 44.4 meters, Time: 32.0 seconds
Name: Estrada da Alvorada, Instruction: Turn slight left onto Estrada da Alvorada, Distance: 14.8 meters, Time: 10.7 seconds
Name: Estrada da Alvorada, Instruction: Keep left onto Estrada da Alvorada, Distance: 307.7 meters, Time: 221.5 seconds
Name: Rua Sete de Setembro, Instruction: Turn sharp right onto Rua Sete de Setembro, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Keep left, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Keep left, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
