Name: Rua Rita Vieira, Instruction: Head northeast on Rua Rita Vieira, Distance: 84.3 meters, Time: 60.7 seconds
Name: Rua Alves, Instruction: Turn left onto Rua Alves, Distance: 51.4 meters, Time: 37.0 seconds
Name: Rua Andrade Figueira, Instruction: Turn left onto Rua Andrade Figueira, Distance: 298.2 meters, Time: 214.7 seconds
Name: Rua Conselheiro Galvão, Instruction: Turn left onto Rua Conselheiro Galvão, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Keep right, Distance: 181.5 meters, Time: 130.7 seconds
Name: -, Instruction: Turn left, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 47.7 meters, Time: 34.4 seconds
Name: Rua Fancisco Batista, Instruction: Turn left onto Rua Fancisco Batista, Distance: 92.7 meters, Time: 66.8 seconds
Name: -, Instruction: Turn right, Distance: 97.3 meters, Time: 70.1 seconds
Name: -, Instruction: Turn slight right, Distance: 40.5 meters, Time: 29.2 seconds
Name: -, Instruction: Turn left, Distance: 134.0 meters, Time: 96.5 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: Rua Padre Manso, Instruction: Turn left onto Rua Padre Manso, Distance: 151.9 meters, Time: 109.3 seconds
Name: -, Instruction: Turn right, Distance: 72.7 meters, Time: 52.3 seconds
Name: -, Instruction: Keep right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Praça Armando Cruz, Instruction: Turn right onto Praça Armando Cruz, Distance: 18.8 meters, Time: 13.5 seconds
Name: Rua Padre Manso, Instruction: Turn slight left onto Rua Padre Manso, Distance: 103.3 meters, Time: 74.4 seconds
Name: Rua Curimatá, Instruction: Turn left onto Rua Curimatá, Distance: 229.9 meters, Time: 165.5 seconds
Name: -, Instruction: Turn slight right, Distance: 226.3 meters, Time: 162.9 seconds
Name: -, Instruction: Turn left, Distance: 189.4 meters, Time: 136.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 79.6 meters, Time: 57.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
