Name: Astral Drive, Instruction: Head west on Astral Drive, Distance: 160.4 meters, Time: 115.5 seconds
Name: Empyrean Grove, Instruction: Turn right onto Empyrean Grove, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 69.4 meters, Time: 49.9 seconds
Name: -, Instruction: Turn right, Distance: 172.3 meters, Time: 124.1 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 84.6 meters, Time: 60.9 seconds
Name: Yindi Place, Instruction: Turn sharp left onto Yindi Place, Distance: 9.1 meters, Time: 6.5 seconds
Name: Perigee Close, Instruction: Continue straight onto Perigee Close, Distance: 156.3 meters, Time: 112.5 seconds
Name: Perigee Close, Instruction: Turn right onto Perigee Close, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Arrive at Perigee Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
