Name: Weemala Road, Instruction: Head north on Weemala Road, Distance: 204.2 meters, Time: 147.0 seconds
Name: Virgil Avenue, Instruction: Turn left onto Virgil Avenue, Distance: 59.7 meters, Time: 43.0 seconds
Name: Virgil Avenue, Instruction: Keep right onto Virgil Avenue, Distance: 30.3 meters, Time: 21.8 seconds
Name: Virgil Avenue, Instruction: Enter the roundabout and take the 3rd exit onto Virgil Avenue, Distance: 395.0 meters, Time: 284.4 seconds
Name: -, Instruction: Turn right, Distance: 384.9 meters, Time: 277.1 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 111.7 meters, Time: 80.4 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 229.9 meters, Time: 165.5 seconds
Name: First Walk, Instruction: Turn left onto First Walk, Distance: 92.1 meters, Time: 66.3 seconds
Name: First Walk, Instruction: Turn slight right onto First Walk, Distance: 179.9 meters, Time: 129.5 seconds
Name: -, Instruction: Turn left, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
