Name: Dillwächterstraße, Instruction: Head northeast on Dillwächterstraße, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Turn right, Distance: 202.6 meters, Time: 145.9 seconds
Name: -, Instruction: Turn left, Distance: 21.0 meters, Time: 15.1 seconds
Name: Josef-Rank-Weg, Instruction: Continue straight onto Josef-Rank-Weg, Distance: 177.2 meters, Time: 127.5 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Keep left, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 64.4 meters, Time: 46.4 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: Ridlerstraße, Instruction: Turn left onto Ridlerstraße, Distance: 2.3 meters, Time: 1.7 seconds
Name: Gießerweg, Instruction: Turn right onto Gießerweg, Distance: 7.5 meters, Time: 5.4 seconds
Name: Ridlerstraße, Instruction: Turn left onto Ridlerstraße, Distance: 168.3 meters, Time: 121.2 seconds
Name: Astallerstraße, Instruction: Turn right onto Astallerstraße, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Arrive at Astallerstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
