Name: Andrew Road, Instruction: Head southwest on Andrew Road, Distance: 440.0 meters, Time: 316.8 seconds
Name: -, Instruction: Turn left, Distance: 215.8 meters, Time: 155.4 seconds
Name: Joan Road, Instruction: Turn left onto Joan Road, Distance: 292.1 meters, Time: 210.3 seconds
Name: Olive Road, Instruction: Turn right onto Olive Road, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Turn left, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 1099.0 meters, Time: 791.3 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: Braddell Rise, Instruction: Turn left onto Braddell Rise, Distance: 116.9 meters, Time: 84.2 seconds
Name: -, Instruction: Arrive at Braddell Rise, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
