Name: Rue Clisson, Instruction: Head north on Rue Clisson, Distance: 9.7 meters, Time: 7.0 seconds
Name: Rue Jean-Sébastien Bach, Instruction: Turn left onto Rue Jean-Sébastien Bach, Distance: 7.2 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 144.5 meters, Time: 104.0 seconds
Name: -, Instruction: Turn slight right, Distance: 209.1 meters, Time: 150.5 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Continue straight, Distance: 313.9 meters, Time: 226.0 seconds
Name: -, Instruction: Turn slight left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn slight right, Distance: 152.8 meters, Time: 110.0 seconds
Name: -, Instruction: Turn right, Distance: 63.0 meters, Time: 45.4 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 83.5 meters, Time: 60.1 seconds
Name: -, Instruction: Turn slight left, Distance: 147.7 meters, Time: 106.3 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Keep right, Distance: 418.6 meters, Time: 301.4 seconds
Name: -, Instruction: Keep left, Distance: 0.9 meters, Time: 0.6 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 230.7 meters, Time: 166.1 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 29.2 meters, Time: 21.0 seconds
Name: Voie GI/13, Instruction: Turn left onto Voie GI/13, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Continue straight, Distance: 14.0 meters, Time: 10.1 seconds
Name: Rue Sœur Catherine Marie, Instruction: Continue straight onto Rue Sœur Catherine Marie, Distance: 84.5 meters, Time: 60.8 seconds
Name: -, Instruction: Arrive at Rue Sœur Catherine Marie, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
