Name: Impasse Satan, Instruction: Head northwest on Impasse Satan, Distance: 4.4 meters, Time: 3.1 seconds
Name: Rue des Vignoles, Instruction: Turn right onto Rue des Vignoles, Distance: 36.6 meters, Time: 26.4 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Keep right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue des Orteaux, Instruction: Turn left onto Rue des Orteaux, Distance: 34.5 meters, Time: 24.8 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn slight left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 147.7 meters, Time: 106.3 seconds
Name: -, Instruction: Turn left, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Turn slight right, Distance: 483.8 meters, Time: 348.3 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 162.0 meters, Time: 116.7 seconds
Name: -, Instruction: Turn slight left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Keep left, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn slight right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn slight right, Distance: 199.0 meters, Time: 143.3 seconds
Name: -, Instruction: Keep left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Keep left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Keep left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Keep right, Distance: 62.5 meters, Time: 45.0 seconds
Name: Rue Orfila, Instruction: Turn left onto Rue Orfila, Distance: 8.4 meters, Time: 6.1 seconds
Name: Rue Orfila, Instruction: Keep right onto Rue Orfila, Distance: 15.8 meters, Time: 11.3 seconds
Name: Rue Gasnier-Guy, Instruction: Keep left onto Rue Gasnier-Guy, Distance: 114.0 meters, Time: 82.1 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 45.1 meters, Time: 32.4 seconds
Name: -, Instruction: Keep right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
