Name: Sackville Street, Instruction: Head north on Sackville Street, Distance: 5.0 meters, Time: 3.6 seconds
Name: Cole Street, Instruction: Turn left onto Cole Street, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn right, Distance: 46.6 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 111.0 meters, Time: 79.9 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 122.3 meters, Time: 88.1 seconds
Name: -, Instruction: Keep left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Keep right, Distance: 216.2 meters, Time: 155.6 seconds
Name: -, Instruction: Turn slight right, Distance: 137.3 meters, Time: 98.8 seconds
Name: Oskenonton Lane, Instruction: Turn right onto Oskenonton Lane, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 58.9 meters, Time: 42.4 seconds
Name: -, Instruction: Turn slight left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 145.4 meters, Time: 104.7 seconds
Name: -, Instruction: Turn left, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 336.8 meters, Time: 242.5 seconds
Name: -, Instruction: Turn right, Distance: 111.1 meters, Time: 80.0 seconds
Name: -, Instruction: Keep left, Distance: 7.0 meters, Time: 5.1 seconds
Name: Wood Street, Instruction: Turn left onto Wood Street, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Arrive at Wood Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
