Name: Victoria Street Lane, Instruction: Head north on Victoria Street Lane, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Keep right, Distance: 628.9 meters, Time: 452.8 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn slight right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight left, Distance: 124.7 meters, Time: 89.8 seconds
Name: -, Instruction: Turn slight right, Distance: 81.0 meters, Time: 58.3 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 93.2 meters, Time: 67.1 seconds
Name: -, Instruction: Turn slight right, Distance: 569.7 meters, Time: 410.2 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 101.7 meters, Time: 73.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
