Name: Timmer Road, Instruction: Head south on Timmer Road, Distance: 10.1 meters, Time: 7.3 seconds
Name: Golden Pond Road, Instruction: Turn left onto Golden Pond Road, Distance: 79.3 meters, Time: 57.1 seconds
Name: Nightingale Road, Instruction: Turn right onto Nightingale Road, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn slight left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 74.2 meters, Time: 53.4 seconds
Name: Koropa Road, Instruction: Turn right onto Koropa Road, Distance: 2.4 meters, Time: 1.8 seconds
Name: Flat Bush School Shared Path, Instruction: Turn left onto Flat Bush School Shared Path, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Keep left, Distance: 191.4 meters, Time: 137.8 seconds
Name: -, Instruction: Keep right, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 235.2 meters, Time: 169.3 seconds
Name: -, Instruction: Turn left, Distance: 169.4 meters, Time: 122.0 seconds
Name: -, Instruction: Turn slight left, Distance: 70.5 meters, Time: 50.8 seconds
Name: -, Instruction: Turn slight left, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Turn slight left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight right, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 73.9 meters, Time: 53.2 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 235.9 meters, Time: 169.9 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 97.5 meters, Time: 70.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 62.6 meters, Time: 45.1 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 153.8 meters, Time: 110.7 seconds
Name: -, Instruction: Turn slight left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 163.8 meters, Time: 117.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
