Name: Avenue des Carrières, Instruction: Head southeast on Avenue des Carrières, Distance: 336.7 meters, Time: 242.4 seconds
Name: Chemin Artot, Instruction: Turn right onto Chemin Artot, Distance: 78.8 meters, Time: 56.7 seconds
Name: Avenue de la Croix, Instruction: Turn left onto Avenue de la Croix, Distance: 28.3 meters, Time: 20.4 seconds
Name: Chemin de la Croix, Instruction: Turn right onto Chemin de la Croix, Distance: 23.0 meters, Time: 16.5 seconds
Name: Avenue Principale, Instruction: Turn right onto Avenue Principale, Distance: 179.0 meters, Time: 128.9 seconds
Name: -, Instruction: Turn left, Distance: 131.4 meters, Time: 94.6 seconds
Name: -, Instruction: Turn right, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn slight left, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Turn right, Distance: 154.7 meters, Time: 111.4 seconds
Name: -, Instruction: Turn slight right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Keep right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 201.1 meters, Time: 144.8 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn slight right, Distance: 25.0 meters, Time: 18.0 seconds
Name: Rue Catherine de La Rochefoucauld, Instruction: Turn right onto Rue Catherine de La Rochefoucauld, Distance: 173.4 meters, Time: 124.8 seconds
Name: -, Instruction: Arrive at Rue Catherine de La Rochefoucauld, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
