Name: Friedhofsweg, Instruction: Head south on Friedhofsweg, Distance: 59.9 meters, Time: 43.1 seconds
Name: Sanddornweg, Instruction: Turn right onto Sanddornweg, Distance: 51.4 meters, Time: 37.0 seconds
Name: Sanddornweg, Instruction: Turn slight right onto Sanddornweg, Distance: 15.8 meters, Time: 11.4 seconds
Name: Sanddornweg, Instruction: Turn left onto Sanddornweg, Distance: 41.7 meters, Time: 30.0 seconds
Name: Gärtnerweg, Instruction: Continue straight onto Gärtnerweg, Distance: 92.5 meters, Time: 66.6 seconds
Name: Rathausstraße, Instruction: Turn left onto Rathausstraße, Distance: 62.5 meters, Time: 45.0 seconds
Name: Wacholderweg, Instruction: Turn right onto Wacholderweg, Distance: 125.9 meters, Time: 90.6 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn slight right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 41.6 meters, Time: 29.9 seconds
Name: Münchner Straße, Instruction: Turn left onto Münchner Straße, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.8 seconds
Name: Münchner Straße, Instruction: Turn left onto Münchner Straße, Distance: 83.9 meters, Time: 60.4 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
