Name: Bahnhofstraße, Instruction: Head northwest on Bahnhofstraße, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: Höhenweg, Instruction: Turn left onto Höhenweg, Distance: 328.2 meters, Time: 236.3 seconds
Name: -, Instruction: Turn left, Distance: 113.0 meters, Time: 81.3 seconds
Name: Bergstraße, Instruction: Turn right onto Bergstraße, Distance: 13.3 meters, Time: 9.5 seconds
Name: Elisenstraße, Instruction: Turn sharp left onto Elisenstraße, Distance: 495.7 meters, Time: 356.9 seconds
Name: Margaretenstraße, Instruction: Turn right onto Margaretenstraße, Distance: 136.4 meters, Time: 98.2 seconds
Name: Margaretenstraße, Instruction: Turn slight right onto Margaretenstraße, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 24.8 meters, Time: 17.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
