Name: 相生通り, Instruction: Head west on 相生通り, Distance: 237.8 meters, Time: 171.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 34.5 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 28.3 meters, Time: 20.4 seconds
Name: 東京工芸大学通り, Instruction: Turn right onto 東京工芸大学通り, Distance: 362.9 meters, Time: 261.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 246.6 meters, Time: 177.5 seconds
Name: -, Instruction: Turn right, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
