Name: Taleeban Road, Instruction: Head west on Taleeban Road, Distance: 519.4 meters, Time: 374.0 seconds
Name: -, Instruction: Turn left, Distance: 144.1 meters, Time: 103.8 seconds
Name: Carranya Road, Instruction: Turn right onto Carranya Road, Distance: 9.5 meters, Time: 6.8 seconds
Name: Tambourine Bay Road, Instruction: Turn left onto Tambourine Bay Road, Distance: 147.0 meters, Time: 105.9 seconds
Name: Riverview Street, Instruction: Enter the roundabout and take the 1st exit onto Riverview Street, Distance: 670.6 meters, Time: 482.8 seconds
Name: Riverview Street, Instruction: Keep right onto Riverview Street, Distance: 105.2 meters, Time: 75.7 seconds
Name: -, Instruction: Turn left, Distance: 55.2 meters, Time: 39.7 seconds
Name: Kooyong Road, Instruction: Turn right onto Kooyong Road, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 74.9 meters, Time: 54.0 seconds
Name: -, Instruction: Turn left, Distance: 119.1 meters, Time: 85.7 seconds
Name: -, Instruction: Turn right, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 84.1 meters, Time: 60.5 seconds
Name: -, Instruction: Keep right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Keep left, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
