Name: Rue Favart, Instruction: Head south on Rue Favart, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 119.7 meters, Time: 86.2 seconds
Name: -, Instruction: Turn slight right, Distance: 413.8 meters, Time: 297.9 seconds
Name: -, Instruction: Keep right, Distance: 102.6 meters, Time: 73.9 seconds
Name: -, Instruction: Turn slight left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Keep right, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Turn slight left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight right, Distance: 51.6 meters, Time: 37.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 273.3 meters, Time: 196.8 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 140.9 meters, Time: 101.4 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight left, Distance: 216.7 meters, Time: 156.0 seconds
Name: Boulevard Saint-Martin, Instruction: Continue straight onto Boulevard Saint-Martin, Distance: 302.1 meters, Time: 217.5 seconds
Name: Boulevard Saint-Martin, Instruction: Keep right onto Boulevard Saint-Martin, Distance: 74.8 meters, Time: 53.9 seconds
Name: -, Instruction: Keep right, Distance: 192.6 meters, Time: 138.7 seconds
Name: -, Instruction: Continue straight, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Continue straight, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 153.3 meters, Time: 110.3 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Keep right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Keep left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep left, Distance: 15.5 meters, Time: 11.1 seconds
Name: -, Instruction: Keep right, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
