Name: Moy Place, Instruction: Head south on Moy Place, Distance: 45.8 meters, Time: 33.0 seconds
Name: Millisle Place, Instruction: Turn left onto Millisle Place, Distance: 165.1 meters, Time: 118.9 seconds
Name: Foundation Avenue, Instruction: Turn left onto Foundation Avenue, Distance: 152.7 meters, Time: 110.0 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 412.2 meters, Time: 296.8 seconds
Name: Chapel Road, Instruction: Turn right onto Chapel Road, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 155.9 meters, Time: 112.2 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Keep right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn slight left, Distance: 70.9 meters, Time: 51.0 seconds
Name: -, Instruction: Turn right, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
