Name: Quai de la Gare, Instruction: Head northwest on Quai de la Gare, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 203.3 meters, Time: 146.3 seconds
Name: -, Instruction: Turn right, Distance: 166.0 meters, Time: 119.5 seconds
Name: -, Instruction: Turn left, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 273.0 meters, Time: 196.5 seconds
Name: -, Instruction: Turn right, Distance: 219.9 meters, Time: 158.4 seconds
Name: Rue de Bercy, Instruction: Turn sharp left onto Rue de Bercy, Distance: 172.7 meters, Time: 124.3 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 99.2 meters, Time: 71.4 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Keep left, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 31.2 meters, Time: 22.5 seconds
Name: Passage Moulin, Instruction: Turn right onto Passage Moulin, Distance: 32.0 meters, Time: 23.1 seconds
Name: Place Henri Frenay, Instruction: Turn slight left onto Place Henri Frenay, Distance: 69.2 meters, Time: 49.8 seconds
Name: Place Henri Frenay, Instruction: Turn left onto Place Henri Frenay, Distance: 10.2 meters, Time: 7.3 seconds
Name: Rue Hector Malot, Instruction: Turn right onto Rue Hector Malot, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 120.8 meters, Time: 87.0 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
