Name: شارع الشيخ ابراهيم زيدان, Instruction: Head south on شارع الشيخ ابراهيم زيدان, Distance: 160.6 meters, Time: 115.6 seconds
Name: شارع الشيخ محمد النادي, Instruction: Turn left onto شارع الشيخ محمد النادي, Distance: 295.5 meters, Time: 212.7 seconds
Name: شارع حسن مأمون, Instruction: Turn right onto شارع حسن مأمون, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: شارع حسن مأمون, Instruction: Turn left onto شارع حسن مأمون, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn right, Distance: 49.4 meters, Time: 35.5 seconds
Name: -, Instruction: Turn left, Distance: 376.2 meters, Time: 270.9 seconds
Name: شارع الشهيد محمد مصطفى كاريكا, Instruction: Turn left onto شارع الشهيد محمد مصطفى كاريكا, Distance: 117.9 meters, Time: 84.9 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: شارع الشهيد محمد مصطفى كاريكا, Instruction: Turn left onto شارع الشهيد محمد مصطفى كاريكا, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Continue straight, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.7 seconds
Name: شارع محمود عزت سليم, Instruction: Turn right onto شارع محمود عزت سليم, Distance: 127.9 meters, Time: 92.1 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn left, Distance: 39.4 meters, Time: 28.4 seconds
Name: شارع مدينة القضاة, Instruction: Turn right onto شارع مدينة القضاة, Distance: 82.3 meters, Time: 59.3 seconds
Name: -, Instruction: Turn left, Distance: 65.6 meters, Time: 47.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
