Name: Andador Daudá, Instruction: Head southeast on Andador Daudá, Distance: 16.8 meters, Time: 12.1 seconds
Name: Calle Claveles, Instruction: Turn right onto Calle Claveles, Distance: 90.3 meters, Time: 65.0 seconds
Name: Calle Claveles, Instruction: Continue straight onto Calle Claveles, Distance: 230.4 meters, Time: 165.9 seconds
Name: Calle Cilantro, Instruction: Turn left onto Calle Cilantro, Distance: 545.3 meters, Time: 392.6 seconds
Name: Calle Cilantro, Instruction: Continue straight onto Calle Cilantro, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Keep right, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 33.6 meters, Time: 24.2 seconds
Name: Avenida Javier Barros Sierra, Instruction: Turn right onto Avenida Javier Barros Sierra, Distance: 17.3 meters, Time: 12.4 seconds
Name: Avenida Vasco de Quiroga, Instruction: Enter the roundabout and take the 1st exit onto Avenida Vasco de Quiroga, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: Avenida Vasco de Quiroga, Instruction: Turn left onto Avenida Vasco de Quiroga, Distance: 1178.8 meters, Time: 848.7 seconds
Name: -, Instruction: Keep right, Distance: 61.9 meters, Time: 44.6 seconds
Name: Calle Roberto Medellín, Instruction: Turn slight right onto Calle Roberto Medellín, Distance: 88.4 meters, Time: 63.6 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: Calle Roberto Medellín, Instruction: Turn right onto Calle Roberto Medellín, Distance: 109.1 meters, Time: 78.5 seconds
Name: -, Instruction: Arrive at Calle Roberto Medellín, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
