Name: Jurong West Street 41, Instruction: Head west on Jurong West Street 41, Distance: 88.3 meters, Time: 63.6 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 48.8 meters, Time: 35.1 seconds
Name: -, Instruction: Turn slight left, Distance: 146.2 meters, Time: 105.2 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 103.3 meters, Time: 74.4 seconds
Name: Jurong West Street 52, Instruction: Turn right onto Jurong West Street 52, Distance: 218.7 meters, Time: 157.5 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Jurong West Street 52, Instruction: Turn right onto Jurong West Street 52, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 118.7 meters, Time: 85.5 seconds
Name: -, Instruction: Turn right, Distance: 45.8 meters, Time: 33.0 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 66.6 meters, Time: 47.9 seconds
Name: -, Instruction: Turn right, Distance: 310.9 meters, Time: 223.9 seconds
Name: -, Instruction: Keep right, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 497.3 meters, Time: 358.1 seconds
Name: -, Instruction: Turn left, Distance: 50.1 meters, Time: 36.0 seconds
Name: -, Instruction: Turn left, Distance: 191.4 meters, Time: 137.8 seconds
Name: -, Instruction: Turn left, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Turn slight right, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 181.3 meters, Time: 130.6 seconds
Name: -, Instruction: Turn right, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: Jurong West Central 2, Instruction: Turn right onto Jurong West Central 2, Distance: 29.0 meters, Time: 20.9 seconds
Name: Jurong West Central 2, Instruction: Continue straight onto Jurong West Central 2, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.3 seconds
Name: Jurong West Central 2, Instruction: Turn right onto Jurong West Central 2, Distance: 16.0 meters, Time: 11.5 seconds
Name: Jurong West Central 3, Instruction: Turn left onto Jurong West Central 3, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
