Name: Steep Acres, Instruction: Head north on Steep Acres, Distance: 21.3 meters, Time: 15.3 seconds
Name: Ocean View Drive, Instruction: Turn sharp left onto Ocean View Drive, Distance: 122.8 meters, Time: 88.4 seconds
Name: Upper Deane Road, Instruction: Turn left onto Upper Deane Road, Distance: 131.4 meters, Time: 94.6 seconds
Name: -, Instruction: Turn right, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn left, Distance: 74.4 meters, Time: 53.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 411.8 meters, Time: 296.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 369.2 meters, Time: 265.8 seconds
Name: -, Instruction: Turn slight left, Distance: 197.9 meters, Time: 142.5 seconds
Name: -, Instruction: Turn right, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Keep right, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn slight right, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Keep left, Distance: 35.9 meters, Time: 25.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
