Name: Nicholson Street, Instruction: Head east on Nicholson Street, Distance: 15.4 meters, Time: 11.1 seconds
Name: Chancel Street, Instruction: Turn right onto Chancel Street, Distance: 4.0 meters, Time: 2.9 seconds
Name: Chancel Street, Instruction: Keep left onto Chancel Street, Distance: 39.2 meters, Time: 28.2 seconds
Name: Dolben Street, Instruction: Turn slight left onto Dolben Street, Distance: 106.6 meters, Time: 76.7 seconds
Name: Great Suffolk Street, Instruction: Turn left onto Great Suffolk Street, Distance: 52.7 meters, Time: 37.9 seconds
Name: Lavington Street, Instruction: Turn right onto Lavington Street, Distance: 210.2 meters, Time: 151.3 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn slight left, Distance: 186.0 meters, Time: 133.9 seconds
Name: -, Instruction: Turn right, Distance: 321.8 meters, Time: 231.7 seconds
Name: -, Instruction: Turn right, Distance: 156.2 meters, Time: 112.4 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: Newcomen Street, Instruction: Turn left onto Newcomen Street, Distance: 269.4 meters, Time: 193.9 seconds
Name: Hamilton Square, Instruction: Turn right onto Hamilton Square, Distance: 23.5 meters, Time: 16.9 seconds
Name: Hamilton Square, Instruction: Turn left onto Hamilton Square, Distance: 18.4 meters, Time: 13.2 seconds
Name: Hamilton Square, Instruction: Turn left onto Hamilton Square, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Keep left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Keep right, Distance: 67.2 meters, Time: 48.4 seconds
Name: Weston Street, Instruction: Turn right onto Weston Street, Distance: 50.1 meters, Time: 36.1 seconds
Name: -, Instruction: Turn left, Distance: 47.0 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Keep right, Distance: 76.0 meters, Time: 54.7 seconds
Name: Tyers Gate, Instruction: Continue straight onto Tyers Gate, Distance: 118.3 meters, Time: 85.2 seconds
Name: Bermondsey Street, A2205, Instruction: Turn right onto Bermondsey Street, A2205, Distance: 72.4 meters, Time: 52.1 seconds
Name: Tanner Street, Instruction: Turn left onto Tanner Street, Distance: 212.9 meters, Time: 153.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Tanner Street, Instruction: Turn left onto Tanner Street, Distance: 157.4 meters, Time: 113.4 seconds
Name: Maltby Street, Instruction: Turn right onto Maltby Street, Distance: 135.8 meters, Time: 97.8 seconds
Name: Millstream Road, Instruction: Turn left onto Millstream Road, Distance: 25.5 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn right, Distance: 75.4 meters, Time: 54.3 seconds
Name: Stanworth Street, Instruction: Turn left onto Stanworth Street, Distance: 38.6 meters, Time: 27.8 seconds
Name: Gedling Place, Instruction: Turn right onto Gedling Place, Distance: 29.3 meters, Time: 21.1 seconds
Name: Abbey Street, B202, Instruction: Turn right onto Abbey Street, B202, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at Abbey Street, B202, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
