Name: شارع الشيخ الاشموني, Instruction: Head east on شارع الشيخ الاشموني, Distance: 137.0 meters, Time: 98.6 seconds
Name: شارع علي شعراوي باشا, Instruction: Turn right onto شارع علي شعراوي باشا, Distance: 339.0 meters, Time: 244.1 seconds
Name: شارع علي شعراوي باشا, Instruction: Keep right onto شارع علي شعراوي باشا, Distance: 55.2 meters, Time: 39.8 seconds
Name: شارع المحروسه, Instruction: Keep left onto شارع المحروسه, Distance: 97.2 meters, Time: 70.0 seconds
Name: شارع المحروسه, Instruction: Keep right onto شارع المحروسه, Distance: 681.2 meters, Time: 490.4 seconds
Name: شارع الاميرى, Instruction: Turn sharp left onto شارع الاميرى, Distance: 29.2 meters, Time: 21.0 seconds
Name: شارع ترعه الجبل, Instruction: Turn sharp right onto شارع ترعه الجبل, Distance: 89.7 meters, Time: 64.5 seconds
Name: -, Instruction: Turn left, Distance: 117.8 meters, Time: 84.8 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: شارع لطفي السيد, Instruction: Turn left onto شارع لطفي السيد, Distance: 301.3 meters, Time: 216.9 seconds
Name: -, Instruction: Turn right, Distance: 233.5 meters, Time: 168.1 seconds
Name: -, Instruction: Turn left, Distance: 108.2 meters, Time: 77.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
