Name: Warrimoo Avenue, Instruction: Head north on Warrimoo Avenue, Distance: 82.3 meters, Time: 59.2 seconds
Name: Dalton Road, Instruction: Turn right onto Dalton Road, Distance: 112.0 meters, Time: 80.7 seconds
Name: Collins Road, Instruction: Turn right onto Collins Road, Distance: 752.8 meters, Time: 542.0 seconds
Name: Toolang Road, Instruction: Turn left onto Toolang Road, Distance: 5.0 meters, Time: 3.6 seconds
Name: Collins Road, Instruction: Turn right onto Collins Road, Distance: 316.8 meters, Time: 228.1 seconds
Name: -, Instruction: Turn left, Distance: 163.8 meters, Time: 118.0 seconds
Name: -, Instruction: Turn right, Distance: 647.3 meters, Time: 466.1 seconds
Name: -, Instruction: Keep left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 96.4 meters, Time: 69.4 seconds
Name: -, Instruction: Turn left, Distance: 101.1 meters, Time: 72.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
