Name: Calle Pico de Peñalara, Instruction: Head northwest on Calle Pico de Peñalara, Distance: 14.5 meters, Time: 10.5 seconds
Name: Calle Pico de Sorata, Instruction: Turn left onto Calle Pico de Sorata, Distance: 195.5 meters, Time: 140.8 seconds
Name: Calle Sierra de Saslaya, Instruction: Turn right onto Calle Sierra de Saslaya, Distance: 280.6 meters, Time: 202.0 seconds
Name: -, Instruction: Keep left, Distance: 25.1 meters, Time: 18.1 seconds
Name: Calle Pico de Sorata, Instruction: Turn left onto Calle Pico de Sorata, Distance: 25.4 meters, Time: 18.3 seconds
Name: Calle Pico de Turquino, Instruction: Turn right onto Calle Pico de Turquino, Distance: 147.0 meters, Time: 105.9 seconds
Name: -, Instruction: Turn right, Distance: 23.4 meters, Time: 16.8 seconds
Name: Calle Picacho Ajusco, Instruction: Keep left onto Calle Picacho Ajusco, Distance: 30.6 meters, Time: 22.0 seconds
Name: Calle Picacho Ajusco, Instruction: Turn right onto Calle Picacho Ajusco, Distance: 227.7 meters, Time: 164.0 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 183.6 meters, Time: 132.2 seconds
Name: -, Instruction: Keep left, Distance: 128.0 meters, Time: 92.2 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 192.1 meters, Time: 138.3 seconds
Name: Boulevard Adolfo Ruiz Cortines, Instruction: Turn slight left onto Boulevard Adolfo Ruiz Cortines, Distance: 125.3 meters, Time: 90.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 126.8 meters, Time: 91.3 seconds
Name: Boulevard Adolfo Ruiz Cortines, Instruction: Turn sharp right onto Boulevard Adolfo Ruiz Cortines, Distance: 265.7 meters, Time: 191.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Keep left, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
