Name: Chatsworth Avenue, Instruction: Head northwest on Chatsworth Avenue, Distance: 144.7 meters, Time: 104.2 seconds
Name: -, Instruction: Turn right, Distance: 400.1 meters, Time: 288.1 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: Tanglin Road, Instruction: Turn right onto Tanglin Road, Distance: 51.5 meters, Time: 37.1 seconds
Name: Tanglin Road, Instruction: Keep left onto Tanglin Road, Distance: 96.8 meters, Time: 69.7 seconds
Name: -, Instruction: Keep left, Distance: 0.4 meters, Time: 0.3 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 42.4 meters, Time: 30.6 seconds
Name: Orchard Promenade, Instruction: Turn right onto Orchard Promenade, Distance: 11.8 meters, Time: 8.5 seconds
Name: Orchard Promenade, Instruction: Turn left onto Orchard Promenade, Distance: 8.5 meters, Time: 6.1 seconds
Name: Orchard Promenade, Instruction: Continue straight onto Orchard Promenade, Distance: 575.6 meters, Time: 414.4 seconds
Name: Orchard Promenade, Instruction: Keep right onto Orchard Promenade, Distance: 133.4 meters, Time: 96.0 seconds
Name: -, Instruction: Turn left, Distance: 20.8 meters, Time: 14.9 seconds
Name: -, Instruction: Keep right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: Claymore Road, Instruction: Turn left onto Claymore Road, Distance: 12.2 meters, Time: 8.8 seconds
Name: Claymore Road, Instruction: Turn slight left onto Claymore Road, Distance: 139.8 meters, Time: 100.6 seconds
Name: Claymore Road, Instruction: Keep left onto Claymore Road, Distance: 165.4 meters, Time: 119.1 seconds
Name: -, Instruction: Keep left, Distance: 41.7 meters, Time: 30.0 seconds
Name: Claymore Hill, Instruction: Turn slight left onto Claymore Hill, Distance: 118.7 meters, Time: 85.5 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
