Name: Plough Inn Road, Instruction: Head northwest on Plough Inn Road, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn slight left, Distance: 120.5 meters, Time: 86.7 seconds
Name: Tristan Place, Instruction: Turn sharp right onto Tristan Place, Distance: 13.2 meters, Time: 9.5 seconds
Name: Harbord Road, Instruction: Enter the roundabout and take the 2nd exit onto Harbord Road, Distance: 179.2 meters, Time: 129.0 seconds
Name: Harbord Road, Instruction: Keep left onto Harbord Road, Distance: 57.7 meters, Time: 41.5 seconds
Name: Harbord Road, Instruction: Turn slight left onto Harbord Road, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn left, Distance: 81.7 meters, Time: 58.8 seconds
Name: Newport Close, Instruction: Turn sharp right onto Newport Close, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Arrive at Newport Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
