Name: Plewes Road, Instruction: Head west on Plewes Road, Distance: 74.1 meters, Time: 53.3 seconds
Name: -, Instruction: Turn left, Distance: 70.2 meters, Time: 50.5 seconds
Name: -, Instruction: Keep right, Distance: 65.7 meters, Time: 47.3 seconds
Name: Ancaster Road, Instruction: Turn left onto Ancaster Road, Distance: 109.0 meters, Time: 78.5 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Katherine Road, Instruction: Turn right onto Katherine Road, Distance: 204.9 meters, Time: 147.5 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: Garratt Boulevard, Instruction: Turn left onto Garratt Boulevard, Distance: 100.7 meters, Time: 72.5 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Keep right, Distance: 270.9 meters, Time: 195.1 seconds
Name: -, Instruction: Keep left, Distance: 600.3 meters, Time: 432.2 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
