Name: Glenlea Road, Instruction: Head west on Glenlea Road, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Station Approach Path, Instruction: Turn left onto Station Approach Path, Distance: 8.0 meters, Time: 5.8 seconds
Name: Glenlea Path, Instruction: Keep left onto Glenlea Path, Distance: 209.1 meters, Time: 150.6 seconds
Name: -, Instruction: Turn slight left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn slight right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn slight right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight left, Distance: 129.4 meters, Time: 93.2 seconds
Name: Everest Road, Instruction: Turn right onto Everest Road, Distance: 5.2 meters, Time: 3.7 seconds
Name: Sherard Road, Instruction: Turn left onto Sherard Road, Distance: 88.5 meters, Time: 63.7 seconds
Name: Tattersall Close, Instruction: Turn right onto Tattersall Close, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn left, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
