Name: Manor Lane, Instruction: Head south on Manor Lane, Distance: 45.9 meters, Time: 33.1 seconds
Name: Taunton Road, Instruction: Turn left onto Taunton Road, Distance: 268.6 meters, Time: 193.4 seconds
Name: Wantage Road, Instruction: Turn left onto Wantage Road, Distance: 9.8 meters, Time: 7.1 seconds
Name: Taunton Road, Instruction: Turn right onto Taunton Road, Distance: 80.6 meters, Time: 58.0 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 179.6 meters, Time: 129.3 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 160.6 meters, Time: 115.6 seconds
Name: -, Instruction: Keep right, Distance: 67.2 meters, Time: 48.4 seconds
Name: Leybridge Court, Instruction: Turn left onto Leybridge Court, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
