Name: Victoria Street, Instruction: Head west on Victoria Street, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 193.9 meters, Time: 139.6 seconds
Name: Kazanis Court, Instruction: Turn left onto Kazanis Court, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Turn left, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: Werrington Station Concourse, Instruction: Turn left onto Werrington Station Concourse, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 65.3 meters, Time: 47.0 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 658.2 meters, Time: 473.9 seconds
Name: -, Instruction: Turn left, Distance: 1085.4 meters, Time: 781.5 seconds
Name: Creek Road, Instruction: Turn left onto Creek Road, Distance: 119.3 meters, Time: 85.9 seconds
Name: Kungala Street, Instruction: Turn right onto Kungala Street, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
