Name: Darrell Avenue, Instruction: Head northeast on Darrell Avenue, Distance: 174.5 meters, Time: 125.6 seconds
Name: Golfview Avenue, Instruction: Turn right onto Golfview Avenue, Distance: 58.0 meters, Time: 41.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Keep right, Distance: 129.6 meters, Time: 93.3 seconds
Name: Cassels Park Trail, Instruction: Turn right onto Cassels Park Trail, Distance: 271.7 meters, Time: 195.6 seconds
Name: Burgess Avenue, Instruction: Turn left onto Burgess Avenue, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Keep left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Brookside Drive, Instruction: Turn right onto Brookside Drive, Distance: 246.5 meters, Time: 177.5 seconds
Name: -, Instruction: Turn right, Distance: 198.4 meters, Time: 142.9 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Keep right, Distance: 57.4 meters, Time: 41.4 seconds
Name: Elmer Avenue, Instruction: Turn left onto Elmer Avenue, Distance: 111.4 meters, Time: 80.2 seconds
Name: -, Instruction: Arrive at Elmer Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
