Name: Kinkleway Avenue, Instruction: Head south on Kinkleway Avenue, Distance: 104.1 meters, Time: 75.0 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.5 seconds
Name: Draper Street, Instruction: Turn right onto Draper Street, Distance: 53.7 meters, Time: 38.6 seconds
Name: -, Instruction: Turn left, Distance: 103.9 meters, Time: 74.8 seconds
Name: Stegmann Road, Instruction: Turn left onto Stegmann Road, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn right, Distance: 394.8 meters, Time: 284.2 seconds
Name: -, Instruction: Turn left, Distance: 596.4 meters, Time: 429.4 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 133.4 meters, Time: 96.1 seconds
Name: 2nd Avenue, Instruction: Turn right onto 2nd Avenue, Distance: 175.3 meters, Time: 126.2 seconds
Name: York Street, Instruction: Turn left onto York Street, Distance: 163.9 meters, Time: 118.0 seconds
Name: -, Instruction: Turn right, Distance: 68.3 meters, Time: 49.2 seconds
Name: Princes Road, Instruction: Turn right onto Princes Road, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 83.9 meters, Time: 60.4 seconds
Name: Hampstead Road, Instruction: Turn left onto Hampstead Road, Distance: 556.1 meters, Time: 400.4 seconds
Name: Loch Road, Instruction: Turn right onto Loch Road, Distance: 15.2 meters, Time: 11.0 seconds
Name: Garfield Road, Instruction: Turn left onto Garfield Road, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 60.5 meters, Time: 43.6 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn right, Distance: 32.2 meters, Time: 23.2 seconds
Name: Garfield Road, Instruction: Turn left onto Garfield Road, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 197.5 meters, Time: 142.2 seconds
Name: -, Instruction: Turn left, Distance: 118.5 meters, Time: 85.3 seconds
Name: Treehaven Road, Instruction: Turn left onto Treehaven Road, Distance: 14.8 meters, Time: 10.7 seconds
Name: Basset Road, Instruction: Turn left onto Basset Road, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
