Name: Oakcrest Avenue, Instruction: Head northeast on Oakcrest Avenue, Distance: 66.6 meters, Time: 48.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 95.1 meters, Time: 68.5 seconds
Name: -, Instruction: Turn left, Distance: 244.1 meters, Time: 175.7 seconds
Name: -, Instruction: Turn right, Distance: 189.0 meters, Time: 136.1 seconds
Name: -, Instruction: Keep right, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Turn slight right, Distance: 164.9 meters, Time: 118.7 seconds
Name: -, Instruction: Keep left, Distance: 34.8 meters, Time: 25.1 seconds
Name: Icemasters Lane, Instruction: Turn right onto Icemasters Lane, Distance: 5.5 meters, Time: 4.0 seconds
Name: Bowmore Road, Instruction: Turn left onto Bowmore Road, Distance: 230.1 meters, Time: 165.7 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
