Name: Terrace Lane, Instruction: Head northwest on Terrace Lane, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Turn left, Distance: 467.7 meters, Time: 336.8 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 122.3 meters, Time: 88.1 seconds
Name: -, Instruction: Continue straight, Distance: 646.7 meters, Time: 465.6 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: Queen's Ride, Instruction: Keep left onto Queen's Ride, Distance: 183.6 meters, Time: 132.2 seconds
Name: -, Instruction: Turn left, Distance: 414.6 meters, Time: 298.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
