Name: Rue des Vignerons, Instruction: Head north on Rue des Vignerons, Distance: 506.7 meters, Time: 364.8 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 50.2 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: Rue Jean Moulin, Instruction: Turn left onto Rue Jean Moulin, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 138.0 meters, Time: 99.4 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 59.2 meters, Time: 42.6 seconds
Name: Passage Saint-Méry, Instruction: Turn left onto Passage Saint-Méry, Distance: 102.9 meters, Time: 74.1 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Rue de l'Égalité, Instruction: Turn left onto Rue de l'Égalité, Distance: 83.0 meters, Time: 59.7 seconds
Name: -, Instruction: Arrive at Rue de l'Égalité, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
