Name: Humber CX, Instruction: Head east on Humber CX, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn slight left, Distance: 328.8 meters, Time: 236.7 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Turn slight left, Distance: 814.4 meters, Time: 586.3 seconds
Name: -, Instruction: Keep right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Keep right, Distance: 321.1 meters, Time: 231.2 seconds
Name: -, Instruction: Turn left, Distance: 49.1 meters, Time: 35.3 seconds
Name: -, Instruction: Turn left, Distance: 240.7 meters, Time: 173.3 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: Southport Street, Instruction: Turn left onto Southport Street, Distance: 160.8 meters, Time: 115.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 86.9 meters, Time: 62.6 seconds
Name: Windermere Avenue, Instruction: Turn left onto Windermere Avenue, Distance: 127.7 meters, Time: 92.0 seconds
Name: Windermere Avenue, Instruction: Continue straight onto Windermere Avenue, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
