Name: Chemin de la Conservation, Instruction: Head north on Chemin de la Conservation, Distance: 43.1 meters, Time: 31.0 seconds
Name: Avenue Principale, Instruction: Turn left onto Avenue Principale, Distance: 36.3 meters, Time: 26.1 seconds
Name: Rue du Télégraphe, Instruction: Turn right onto Rue du Télégraphe, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight left, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Turn right, Distance: 161.3 meters, Time: 116.2 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Rue du Docteur Potain, Instruction: Turn right onto Rue du Docteur Potain, Distance: 223.5 meters, Time: 160.9 seconds
Name: Rue de l'Inspecteur Allès, Instruction: Continue straight onto Rue de l'Inspecteur Allès, Distance: 113.9 meters, Time: 82.0 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 157.0 meters, Time: 113.1 seconds
Name: -, Instruction: Keep right, Distance: 23.3 meters, Time: 16.8 seconds
Name: Rue David d'Angers, Instruction: Turn left onto Rue David d'Angers, Distance: 252.3 meters, Time: 181.7 seconds
Name: Rue David d'Angers, Instruction: Enter the roundabout and take the 4th exit onto Rue David d'Angers, Distance: 232.5 meters, Time: 167.4 seconds
Name: -, Instruction: Arrive at Rue David d'Angers, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
