Name: Anne-Frank-Anger, Instruction: Head north on Anne-Frank-Anger, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Keep left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 53.7 meters, Time: 38.6 seconds
Name: -, Instruction: Turn right, Distance: 308.7 meters, Time: 222.3 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: Josephsburgstraße, Instruction: Turn right onto Josephsburgstraße, Distance: 14.6 meters, Time: 10.5 seconds
Name: Josephsburgstraße, Instruction: Continue straight onto Josephsburgstraße, Distance: 796.5 meters, Time: 573.4 seconds
Name: Groschenweg, Instruction: Turn right onto Groschenweg, Distance: 19.9 meters, Time: 14.3 seconds
Name: Dukatenweg, Instruction: Turn left onto Dukatenweg, Distance: 259.9 meters, Time: 187.2 seconds
Name: -, Instruction: Turn right, Distance: 56.9 meters, Time: 41.0 seconds
Name: Marianne-Plehn-Straße, Instruction: Turn left onto Marianne-Plehn-Straße, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 123.6 meters, Time: 89.0 seconds
Name: -, Instruction: Turn right, Distance: 65.9 meters, Time: 47.4 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 99.7 meters, Time: 71.8 seconds
Name: Evereststraße, Instruction: Turn right onto Evereststraße, Distance: 36.1 meters, Time: 26.0 seconds
Name: Evereststraße, Instruction: Turn right onto Evereststraße, Distance: 80.0 meters, Time: 57.6 seconds
Name: Sankt-Augustinus-Straße, Instruction: Turn left onto Sankt-Augustinus-Straße, Distance: 258.6 meters, Time: 186.2 seconds
Name: Haffstraße, Instruction: Turn left onto Haffstraße, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn left, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn right, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
