Name: Rue de la Providence, Instruction: Head southeast on Rue de la Providence, Distance: 105.4 meters, Time: 75.9 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 112.9 meters, Time: 81.3 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.1 seconds
Name: -, Instruction: Turn slight left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Keep right, Distance: 55.6 meters, Time: 40.0 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Keep right, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Keep right, Distance: 155.3 meters, Time: 111.8 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: Rue du Docteur Leray, Instruction: Enter the roundabout and take the 4th exit onto Rue du Docteur Leray, Distance: 215.2 meters, Time: 154.9 seconds
Name: Rue Damesme, Instruction: Turn right onto Rue Damesme, Distance: 9.8 meters, Time: 7.1 seconds
Name: Rue Bourgon, Instruction: Turn left onto Rue Bourgon, Distance: 91.8 meters, Time: 66.1 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 39.5 meters, Time: 28.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
