Name: Rue Hélène et François Missoffe, Instruction: Head south on Rue Hélène et François Missoffe, Distance: 65.1 meters, Time: 46.9 seconds
Name: Boulevard du Bois le Prêtre, Instruction: Turn left onto Boulevard du Bois le Prêtre, Distance: 124.6 meters, Time: 89.7 seconds
Name: Place Arnault Tzanck, Instruction: Turn left onto Place Arnault Tzanck, Distance: 76.7 meters, Time: 55.3 seconds
Name: Place Arnault Tzanck, Instruction: Turn right onto Place Arnault Tzanck, Distance: 15.5 meters, Time: 11.2 seconds
Name: Place Arnault Tzanck, Instruction: Turn left onto Place Arnault Tzanck, Distance: 127.8 meters, Time: 92.0 seconds
Name: Boulevard Bessières, Instruction: Continue straight onto Boulevard Bessières, Distance: 19.9 meters, Time: 14.3 seconds
Name: Rue Jacques Kellner, Instruction: Keep left onto Rue Jacques Kellner, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 118.8 meters, Time: 85.5 seconds
Name: -, Instruction: Turn slight right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
