Name: Alpha Grove, Instruction: Head north on Alpha Grove, Distance: 110.5 meters, Time: 79.6 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: Bosun Close, Instruction: Turn right onto Bosun Close, Distance: 51.7 meters, Time: 37.2 seconds
Name: Byng Street, Instruction: Turn left onto Byng Street, Distance: 14.7 meters, Time: 10.6 seconds
Name: Manilla Street, Instruction: Turn right onto Manilla Street, Distance: 51.1 meters, Time: 36.8 seconds
Name: Lenanton Steps, Instruction: Turn right onto Lenanton Steps, Distance: 32.0 meters, Time: 23.0 seconds
Name: Marsh Wall, Instruction: Turn left onto Marsh Wall, Distance: 281.1 meters, Time: 202.4 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 77.3 meters, Time: 55.6 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 86.4 meters, Time: 62.2 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 84.4 meters, Time: 60.7 seconds
Name: -, Instruction: Turn right, Distance: 24.3 meters, Time: 17.5 seconds
Name: West India Avenue, Instruction: Turn right onto West India Avenue, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 27.2 meters, Time: 19.5 seconds
Name: Westferry Circus, Instruction: Turn right onto Westferry Circus, Distance: 95.6 meters, Time: 68.8 seconds
Name: Westferry Circus, Instruction: Continue straight onto Westferry Circus, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn right, Distance: 159.1 meters, Time: 114.5 seconds
Name: -, Instruction: Turn right, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: Westferry Road, Instruction: Turn right onto Westferry Road, Distance: 129.5 meters, Time: 93.2 seconds
Name: -, Instruction: Turn right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 31.9 meters, Time: 22.9 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Keep left, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: Birchfield Street, Instruction: Turn left onto Birchfield Street, Distance: 105.1 meters, Time: 75.7 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
