Name: Chenies Mews, Instruction: Head southwest on Chenies Mews, Distance: 4.6 meters, Time: 3.3 seconds
Name: Huntley Street, Instruction: Turn left onto Huntley Street, Distance: 4.7 meters, Time: 3.4 seconds
Name: Capper Street, Instruction: Turn right onto Capper Street, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 87.1 meters, Time: 62.7 seconds
Name: Capper Street, Instruction: Turn left onto Capper Street, Distance: 18.6 meters, Time: 13.4 seconds
Name: Tottenham Court Road, Instruction: Turn left onto Tottenham Court Road, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Keep right, Distance: 138.3 meters, Time: 99.5 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 113.3 meters, Time: 81.6 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 255.8 meters, Time: 184.2 seconds
Name: -, Instruction: Turn slight left, Distance: 144.2 meters, Time: 103.8 seconds
Name: -, Instruction: Turn left, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 143.6 meters, Time: 103.4 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 220.8 meters, Time: 158.9 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Marylebone High Street, B524, Instruction: Turn left onto Marylebone High Street, B524, Distance: 1.2 meters, Time: 0.9 seconds
Name: Blandford Street, Instruction: Turn right onto Blandford Street, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn slight left, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.7 seconds
Name: George Street, Instruction: Turn right onto George Street, Distance: 82.2 meters, Time: 59.2 seconds
Name: Spanish Place, Instruction: Turn left onto Spanish Place, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 48.7 meters, Time: 35.1 seconds
Name: -, Instruction: Turn right, Distance: 133.0 meters, Time: 95.8 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 140.7 meters, Time: 101.3 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 206.1 meters, Time: 148.4 seconds
Name: -, Instruction: Turn slight right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
