Name: Lassell Street, Instruction: Head southeast on Lassell Street, Distance: 102.0 meters, Time: 73.5 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 54.0 meters, Time: 38.8 seconds
Name: -, Instruction: Turn right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 167.2 meters, Time: 120.4 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 177.0 meters, Time: 127.5 seconds
Name: -, Instruction: Turn slight right, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Turn left, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Keep left, Distance: 241.0 meters, Time: 173.5 seconds
Name: -, Instruction: Keep right, Distance: 103.3 meters, Time: 74.4 seconds
Name: -, Instruction: Turn right, Distance: 39.8 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 152.5 meters, Time: 109.8 seconds
Name: -, Instruction: Turn left, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
