Name: Leyton Road, Instruction: Head southeast on Leyton Road, Distance: 237.9 meters, Time: 171.3 seconds
Name: Liberty Bridge Road, Instruction: Turn slight left onto Liberty Bridge Road, Distance: 159.4 meters, Time: 114.7 seconds
Name: -, Instruction: Turn left, Distance: 22.7 meters, Time: 16.3 seconds
Name: Celebration Avenue, Instruction: Continue straight onto Celebration Avenue, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Keep left, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn slight left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: International Square, Instruction: Turn left onto International Square, Distance: 132.8 meters, Time: 95.6 seconds
Name: International Square, Instruction: Turn left onto International Square, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn slight right, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: The Street, Instruction: Continue straight onto The Street, Distance: 94.1 meters, Time: 67.8 seconds
Name: Chestnut Plaza, Instruction: Turn sharp right onto Chestnut Plaza, Distance: 89.6 meters, Time: 64.5 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Endeavour Square, Instruction: Turn right onto Endeavour Square, Distance: 212.6 meters, Time: 153.1 seconds
Name: Stratford Walk, Instruction: Continue straight onto Stratford Walk, Distance: 60.1 meters, Time: 43.3 seconds
Name: Lower Ground, Instruction: Turn left onto Lower Ground, Distance: 7.2 meters, Time: 5.2 seconds
Name: Lower Ground, Instruction: Turn right onto Lower Ground, Distance: 2.7 meters, Time: 1.9 seconds
Name: Stratford Walk, F10B, Instruction: Continue straight onto Stratford Walk, F10B, Distance: 68.1 meters, Time: 49.0 seconds
Name: -, Instruction: Turn left, Distance: 241.8 meters, Time: 174.1 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
