Name: Aklander Rise, Instruction: Head northeast on Aklander Rise, Distance: 129.1 meters, Time: 92.9 seconds
Name: Cumber Lane, Instruction: Turn left onto Cumber Lane, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 103.2 meters, Time: 74.3 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 48.8 meters, Time: 35.2 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 106.4 meters, Time: 76.6 seconds
Name: -, Instruction: Turn left, Distance: 68.4 meters, Time: 49.2 seconds
Name: -, Instruction: Keep right, Distance: 71.8 meters, Time: 51.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
