Name: شارع 12, Instruction: Head north on شارع 12, Distance: 66.3 meters, Time: 47.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 479.1 meters, Time: 345.0 seconds
Name: طريق طلعت مصطفى, Instruction: Turn slight left onto طريق طلعت مصطفى, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 237.0 meters, Time: 170.6 seconds
Name: طريق طلعت مصطفى الجانبى, Instruction: Turn left onto طريق طلعت مصطفى الجانبى, Distance: 109.0 meters, Time: 78.5 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn slight left, Distance: 105.1 meters, Time: 75.7 seconds
Name: -, Instruction: Turn left, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 198.0 meters, Time: 142.6 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 285.8 meters, Time: 205.8 seconds
Name: -, Instruction: Turn right, Distance: 95.3 meters, Time: 68.6 seconds
Name: -, Instruction: Turn left, Distance: 81.7 meters, Time: 58.8 seconds
Name: -, Instruction: Turn right, Distance: 32.4 meters, Time: 23.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
