Name: West 25th Avenue, Instruction: Head east on West 25th Avenue, Distance: 97.3 meters, Time: 70.0 seconds
Name: Pierce Street, Instruction: Turn right onto Pierce Street, Distance: 165.3 meters, Time: 119.0 seconds
Name: Pierce Street, Instruction: Keep left onto Pierce Street, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 190.5 meters, Time: 137.2 seconds
Name: -, Instruction: Turn left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 204.9 meters, Time: 147.5 seconds
Name: -, Instruction: Turn slight left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
